date_found,category,source,title,company,location,comp,link
2026-06-12,Success (client / customer / student),Jobicy,"Customer Success Engineer, UK",Nash,UK,,https://jobicy.com/jobs/145832-customer-success-engineer-uk
2026-06-12,Success (client / customer / student),Jobicy,"Technical Customer Success Manager, UK",Nash,UK,,https://jobicy.com/jobs/145831-technical-customer-success-manager-uk
2026-06-12,Success (client / customer / student),Jobicy,Customer Success Manager,Navan,USA,,https://jobicy.com/jobs/145201-customer-success-manager-32
2026-06-12,Success (client / customer / student),RemoteOK,Customer Success Manager Senior,Orquest - Retail Smart Planning,Remote,,https://remoteOK.com/remote-jobs/remote-customer-success-manager-senior-orquest-retail-smart-planning-1133280
2026-06-12,Success (client / customer / student),Jobicy,Strategic Customer Success Manager,Osano,USA,,https://jobicy.com/jobs/146136-strategic-customer-success-manager-4
2026-06-12,Success (client / customer / student),Arbeitnow,Working Student Graphic / Communication Design (m/f/d),PADOA GmbH,Munich,,https://www.arbeitnow.com/jobs/companies/padoa-gmbh/working-student-graphic-communication-design-munich-484602
2026-06-12,Success (client / customer / student),Jobicy,"Manager, Customer Success Manager",Ping Identity,UK,,https://jobicy.com/jobs/145234-manager-customer-success-manager
2026-06-12,Success (client / customer / student),Jobicy,Senior Customer Success Manager,Ping Identity,UK,,https://jobicy.com/jobs/144989-senior-customer-success-manager-10
2026-06-12,Success (client / customer / student),Jobicy,"Regional Manager, Customer Success (D&I – APJ)",Planet Labs Inc.,APAC,,https://jobicy.com/jobs/146188-regional-manager-customer-success-di-apj
2026-06-12,Success (client / customer / student),Jobicy,"Pay Customer Success Manager, MM/Ent",Remote,EMEA,,https://jobicy.com/jobs/146035-pay-customer-success-manager-mm-ent
2026-06-12,Success (client / customer / student),Jobicy,"Pay Customer Success Manager, SMB",Remote,EMEA,,https://jobicy.com/jobs/145658-pay-customer-success-manager-smb
2026-06-12,Success (client / customer / student),Jobicy,Strategic Customer Success Manager,Samsara,Mexico,,https://jobicy.com/jobs/145721-strategic-customer-success-manager-3
2026-06-12,Success (client / customer / student),Jobicy,Principal Customer Success Manager – Enterprise (West/Central),Smartsheet,USA,,https://jobicy.com/jobs/145719-principal-customer-success-manager-enterprise-west-central
2026-06-12,Success (client / customer / student),RemoteOK,Senior Manager Strategic Customer Success,Superhuman,Remote,,https://remoteOK.com/remote-jobs/remote-senior-manager-strategic-customer-success-superhuman-1133160
2026-06-12,Success (client / customer / student),Jobicy,Senior Customer Success Manager,TELUS,UK,,https://jobicy.com/jobs/145825-senior-customer-success-manager-11
2026-06-12,Success (client / customer / student),Jobicy,Customer Success Manager-Asset Manager,Tempur Sealy International,USA,,https://jobicy.com/jobs/145189-customer-success-manager-asset-manager-2
2026-06-12,Success (client / customer / student),Jobicy,"Manager, Customer Success – Secondary Education East Coast (USA Remote)","Turnitin, LLC",USA,,https://jobicy.com/jobs/145724-manager-customer-success-secondary-education-east-coast-usa-remote
2026-06-12,Success (client / customer / student),Jobicy,"Senior Director, Customer Success",Webflow,USA,,https://jobicy.com/jobs/145833-senior-director-customer-success
2026-06-12,Success (client / customer / student),Jobicy,Customer Success Manager-Asset Manager,World Wide Technology,USA,,https://jobicy.com/jobs/144987-customer-success-manager-asset-manager
2026-06-12,Success (client / customer / student),Jobicy,Sr. Customer Success Manager – Central,Axon,USA,,https://jobicy.com/jobs/146320-sr-customer-success-manager-central
2026-06-12,Success (client / customer / student),Jobicy,"Customer Success Manager, Japan",GitLab,Japan,,https://jobicy.com/jobs/146329-customer-success-manager-japan
2026-06-12,Success (client / customer / student),Jobicy,Senior Customer Success Mgr,Kinetic by Windstream,USA,,https://jobicy.com/jobs/146317-senior-customer-success-mgr
2026-06-12,Success (client / customer / student),Jobicy,Strategic Customer Success Manager,Retool,USA,,https://jobicy.com/jobs/146309-strategic-customer-success-manager-5
2026-06-12,Success (client / customer / student),Jobicy,Customer Success Manager,RingCentral,Philippines,,https://jobicy.com/jobs/146319-customer-success-manager-34
2026-06-12,Success (client / customer / student),Jobicy,Customer Success Architect,Sigma Computing,USA,,https://jobicy.com/jobs/146326-customer-success-architect-2
2026-06-12,Success (client / customer / student),Jobicy,Senior Enterprise Customer Success Manager,Signifyd,USA,,https://jobicy.com/jobs/146327-senior-enterprise-customer-success-manager
2026-06-12,Success (client / customer / student),Jobicy,Customer Success Manager,Sonatype,UK,,https://jobicy.com/jobs/146325-customer-success-manager-35
2026-06-12,Success (client / customer / student),Jobicy,Junior Customer Success Manager (API),Vonage,Japan,,https://jobicy.com/jobs/146334-junior-customer-success-manager-api
